State,Quantity,Classification
IL,14595,Class II
OR,15264,Class I
KS,54,Class I
CA,5013,Class II
NH,693408,Class II
AZ,66965,Class I
PA,52,Class II
MI,312,Class I
WA,7,Class I
CA,14,Class I
NM,670,Class II
IL,,Class II
IL,12500,Class II
KS,39,Class I
CA,199984,Class II
CO,69,Class II
LA,569,Class I
NY,145,Class I
SC,25000,Class II
TX,12898,Class I
TX,16262,Class II
LA,8942,Class I
NJ,394,Class II
IL,626,Class I
CA,3814275,Class II
CA,2,Class I
NJ,412,Class II
WA,070617,Class II
NY,58,Class I
TN,960,Class I
CA,152216,Class I
WA,6689779,Class I
CA,,Class I
TX,2377,Class III
KS,81,Class I
IL,178,Class II
CT,1098,Class II
CA,,Class I
IL,231100,Class II
GA,7560,Class II
CA,2945,Class I
IL,7550,Class II
GA,323387,Class II
WA,1,Class I
IA,10021,Class I
MA,43606,Class I
IL,2219,Class II
IL,10150,Class II
IL,413796,Class II
NJ,1592,Class II
CA,6692,Class II
CA,,Class III
MI,14813,Class II
CA,152216,Class I
KS,139,Class I
TX,3220,Class III
CT,1000,Class I
NJ,183678,Class II
IL,10300,Class II
WI,11130,Class I
NY,16,Class I
ME,,Class I
CA,276,Class I
CA,,Class I
IL,3500,Class II
KS,17,Class I
NM,,Class II
CA,101345,Class II
WI,94346,Class I
IA,1,Class III
KS,77,Class I
CA,,Class III
MN,369840,Class II
TX,92160,Class I
IL,15000,Class II
IL,5180,Class II
CO,,Class II
CA,2007,Class II
MN,101706,Class II
IL,12700,Class II
CA,43004,Class II
NH,693408,Class II
CA,,Class I
CA,4657,Class I
AZ,3407385,Class II
NM,,Class II
TX,12898,Class I
IL,15100,Class II
IL,191000,Class I
TX,158,Class III
TX,2005,Class III
CA,36757,Class I
WA,394,Class I
TX,7552,Class III
TX,12898,Class II
ME,,Class II
UT,34816,Class II
CA,2360,Class I
CA,533,Class II
NM,,Class II
"
"
Class 1 Count,Class 2 Count,Class 3 Count
43,49,8
